set_id,description,price,img_url_1,img_url_2,color,category
5,Gold Kundan Lotus Maang Tika,1700.00,https://img.faballey.com/Images/Product/ZMT00011/1.jpg,https://img.faballey.com/images/Product/ZMT00011/2.jpg,white,hair-jewelry
11,White Blue Diamond Drop String Earring Necklace Set,2875.00,https://img.faballey.com/Images/Product/ZNS00031/1.jpg,https://img.faballey.com/images/Product/ZNS00031/2.jpg,blue,necklace-sets
12,Blue Bead Kundan Earring Necklace Set,1750.00,https://img.faballey.com/Images/Product/ZNS00050/1.jpg,https://img.faballey.com/images/Product/ZNS00050/2.jpg,blue,necklace-sets
13,Gold Kundan Tukdi Earring Necklace Set,2500.00,https://img.faballey.com/Images/Product/ZNS00007/1.jpg,https://img.faballey.com/images/Product/ZNS00007/2.jpg,white,necklace-sets
14,Gold Maroon Kundan Floral Necklace Set,2250.00,https://img.faballey.com/Images/Product/ZNS00058/1.jpg,https://img.faballey.com/images/Product/ZNS00058/2.jpg,maroon,necklace-sets
6,Green Meena Kundan Maang Tika,900.00,https://img.faballey.com/Images/Product/ZMT00006/1.jpg,https://img.faballey.com/images/Product/ZMT00006/2.jpg,green,hair-jewelry
7,White Crest Kundan Beaded Maang Tika,1400.00,https://img.faballey.com/Images/Product/ZMT00015/1.jpg,https://img.faballey.com/images/Product/ZMT00015/2.jpg,white,hair-jewelry
15,Gold Orb Kundan Double Pearl Earrings Necklace Set,1750.00,https://img.faballey.com/Images/Product/ZNS00051/1.jpg,https://img.faballey.com/images/Product/ZNS00051/2.jpg,white,necklace-sets
16,Rose Gold Plated  Crystal Necklace Set,2450.00,https://img.faballey.com/Images/Product/ZNS00064/1.jpg,https://img.faballey.com/images/Product/ZNS00064/2.jpg,white,necklace-sets
8,Gold Maroon Kundan Floral Beaded Maang Tikka,650.00,https://img.faballey.com/Images/Product/ZMT00039/1.jpg,https://img.faballey.com/images/Product/ZMT00039/2.jpg,maroon,hair-jewelry
9,Gold Kundan Red Bead Maang Tika,1050.00,https://img.faballey.com/Images/Product/ZMT00017/1.jpg,https://img.faballey.com/images/Product/ZMT00017/2.jpg,red,hair-jewelry
10,Gold Maroon Kundan Seed Bead Chand Maang Tika,600.00,https://img.faballey.com/Images/Product/ZMT00041/1.jpg,https://img.faballey.com/images/Product/ZMT00041/2.jpg,maroon,hair-jewelry
11,Green Meena Kundan Chandbali Maang Tika,1400.00,https://img.faballey.com/Images/Product/ZMT00010/1.jpg,https://img.faballey.com/images/Product/ZMT00010/2.jpg,green,hair-jewelry
17,Dual Gold Kundan Green Bead Earring Necklace Set,1750.00,https://img.faballey.com/Images/Product/ZNS00055/1.jpg,https://img.faballey.com/images/Product/ZNS00055/2.jpg,pink,necklace-sets
18,Gold Red Kundan Bead Earring Necklace Set,1600.00,https://img.faballey.com/Images/Product/ZNS00003/1.jpg,https://img.faballey.com/images/Product/ZNS00003/2.jpg,red,necklace-sets
19,White Diamond Floral Bunch Earring Necklace Set,2750.00,https://img.faballey.com/Images/Product/ZNS00032/1.jpg,https://img.faballey.com/images/Product/ZNS00032/2.jpg,white,necklace-sets
